식별자	일자	언론사	제목	본문
01101001.20190416184816001	20190416	한겨레	"[사설] 끝없는 ‘세월호 망언’, 자유한국당 본색인가"	"304명의 생때같은 목숨을 앗아간 세월호 참사 5주기, 그 잔인한 4월이 희생자 가족들에게 올해 더 잔인하게 찾아왔다. 지난 5년 동안 세월호 희생자 가족의 가슴을 후벼파온 자유한국당 전 현직 의원들이 또 막말을 쏟아냈다. 죽은 이의 ‘뼈까지 발라’ 정쟁의 도구로 활용하려는 게 아니라면, 막말을 멈추고 인간성을 먼저 회복하길 바란다.

 차명진 전 국회.."
01100611.20190405165306001	20190405	서울신문	[사설] 국가재난사태 산불에도 청와대 위기대응 책임자 발 묶은 자유한국당	"강원도 고성에서 그제 오후 7시에 발생한 산불이 초속 15m 이상 태풍급 바람을 타고 밤새 축구장 크기 539배에 달하는 385㏊ 지역을 초토화했고, 125동의 주택을 소실시켰다. 1명이 숨졌고 30여 명이 부상당했으며, 한밤중 대피 등으로 4000여 명이 넘는 이재민이 발생했다. 최종 집계되지는 않았지만, 단일 화재로는 역대 최대 규모의 산불 피해다..."
02100101.20190228000200001	20190228	매일경제	[사설] 황교안號 자유한국당이 책임있는 대안 정당으로 거듭나려면	"자유한국당이 27일 전당대회에서 황교안 후보를 신임 당대표로 선출했다. 지난해 6월 지방선거 참패 이후 지금까지 한국당은 비상대책위원회 체제로 버텨왔다. '비상'에서 '정상'으로의 복귀인 셈인데 새 지도부 선출이 한국당, 나아가 보수진영의 정상화로 이어지길 바란다. 제1 야당의 전열 정비는 정당 정치 구현에도 긍정적인 영향을 미칠 것이라 기대한다. 
지.."
01101001.20190227222030001	20190227	한겨레	"[사설] ‘탄핵 총리’의 화려한 복귀, 자유한국당의 민심 괴리"	"이변은 없었다. 자유한국당 새 지도부를 뽑는 2 27 전당대회에서 줄곧 대세론을 형성한 황교안 전 총리가 50.0%를 얻어 당대표로 선출됐다. 그가 입당 43일 만에 제1야당 대표가 된 것은 리더십 부재로 혼돈을 거듭해온 자유한국당 당원들의 뜻이지만, 민심과는 거리가 먼 결과다.

 보수진영 대선주자 선호도에서 가장 높은 지지율을 기록해온 황 대표가 보.."
01200201.20190226221944002	20190226	경인일보	[사설]자유한국당의 환골탈태를 기대한다	지난 해 7월에 발족한 자유한국당의 김병준 비상대책위가 오늘로 막을 내리고 내일부터는 새 지도부가 당의 지휘봉을 잡게된다. 대선과 지방선거 패배를 딛고 개혁보수의 길을 걷겠다고 출범한 김병준 비대위는 초기에 국가주의 논쟁과 이념적 의제를 주도하면서 새 보수의 가능성을 보인 것도 사실이다. 그러나 계파갈등과 전원책 조강특위 위원 해촉 파문 등으로 진영논리..
02100601.20190221001538001	20190221	한국경제	[사설] 자유한국당에 대한 실망이 커지고 있다	"자유한국당이 오는 27일 대표와 최고위원을 뽑는 전당대회를 앞두고 벌이는 행태가 한심스럽다. 전당대회를 계기로 보수가치를 정립하고 미래비전을 보여줘도 모자랄 판에 계파 정치가 횡행하고, ‘망언 논란’과 자중지란까지 겹쳐 신뢰를 스스로 바닥에 내동댕이치고 있다는 비판이 거세다. 전당대회를 재집권의 디딤돌로 삼기는커녕 오히려 당 이미지에 먹칠만 하고 있다는.."
01400501.20190220231741002	20190220	중부일보	"[사설] 자유한국당, 품격 있는 대여투쟁을 기대한다"	자유한국당 전당대회가 우경화 논란에 휩싸이면서 대여투쟁에도 보다 품격이 필요하다는 의견이 분출하고 있다. 소위 태극기 부대라 불리는 강성 세력이 합동 연설회 분위기를 주도하면서다. 이번에 전당대회 최고위원에 출마한 정미경 후보도 ‘격’이 다른 발언으로 주목을 받고 있다는 평이다. 알다시피 경기 출신의 유일한 여성 최고위원 후보로 최근 정부의 각종 실정에..
01100611.20190220034305002	20190220	서울신문	[사설] ‘태극기부대’와 결별 없이 자유한국당 미래 없다	"오는 27일 전당대회를 앞둔 자유한국당에 복병이 나타났다. 바로 ‘태극기부대’다. 김진태 후보를 지지하는 2000여명은 어제 대구 경북(TK) 합동연설회장을 아수라장으로 만들었다. 이들은 연설회 시작 1시간 전부터 “김진태”를 외치며 분위기를 돋웠지만, 김병준 비상대책위원장이 등장하자 “김병준 나가라, 빨갱이”와 같은 원색적 표현도 불사했다. 최근 ‘5.."
01100101.20190219201805001	20190219	경향신문	[사설]극우 막말과 망언 난무한 자유한국당 전대 연설회	자유한국당의 미래를 책임질 새 지도부를 뽑는 전당대회가 막장으로 치닫고 있다. 한국 정치사에서 유례를 찾기 힘든 망발과 반민주의 퇴행이 난무하는 난장의 전대가 연출되고 있다. 제1야당의 전대가 태극기부대를 위시한 극우 세력의 놀이터로 전락한 꼴이다. 지난 18일 대구 경북 합동연설회장 역시 ‘5 18 망언’ 당사자인 김진태 의원을 지지하는 태극기부대가 ..
01101001.20190219182818001	20190219	한겨레	[사설] ‘태극기 부대’가 점령한 자유한국당 경선전	"자유한국당이 새 지도부 선출을 위한 전당대회(27일)를 앞두고 본격적인 경선에 돌입했지만 일부 후보와 청중의 극우적 행태가 도를 넘고 있다. 합동연설회는 이른바 ‘태극기 부대’에 장악된 모양새고, 상당수 후보가 이들에게 영합하는 듯한 발언을 쏟아내고 있다. 보수 정당으로서의 ‘품격’와 ‘절제’를 찾기 어려운 형국이다. 

 18일 열린 대구 경북 합동연.."
01100101.20190217203013002	20190217	경향신문	[사설]극우의 깃발만 펄럭대는 자유한국당 전대	새 지도부를 뽑는 자유한국당 전당대회 레이스가 본격화됐지만 갈수록 극우 깃발만 펄럭이는 ‘퇴행’으로 치닫고 있다. 한국당은 14일 대전 합동연설회를 시작으로 15일 당 대표 후보들의 첫 TV토론회에 이어 17일 인터넷 토론회를 개최했다. 오늘은 전대 승부처로 지목되는 대구 경북 합동연설회가 열린다. 연설회와 토론회에선 당의 비전과 정책 대안을 내건 건강..
01100101.20190214204405002	20190214	경향신문	"[사설]‘5 18 망언’ 의원 징계쇼, 정신 못 차린 자유한국당"	"자유한국당이 14일 중앙윤리위원회를 열어 ‘5 18 망언’을 한 세 의원에 대한 징계안을 내놨다. 이종명 의원은 제명하기로 했는데, 김진태 김순례 의원에 대해서는 징계를 유보했다. ‘전당대회 후보자는 후보 등록이 끝난 때부터 당선인 공고까지 윤리위 회부 및 징계를 유예받는다’는 당 선출 규정에 따른 조치라고 당은 설명했다. 두 김 의원이 오는 27일 치.."
01101001.20190214184812001	20190214	한겨레	[사설] ‘5 18 망언’ 방조하는 자유한국당의 ‘꼼수 징계’	"자유한국당이 5 18 민주화운동을 모독하는 발언을 한 이종명 의원을 14일 제명하기로 했다. 김진태 김순례 의원에 대해선, 전당대회 출마 후보의 징계를 유예한 당내 규정을 들어 전당대회가 끝날 때까지 징계하지 않기로 했다. 당내 선거규정을 빌미로 망언을 묵인하고, 되레 당내 경선에 활용할 수 있는 길을 터준 것이다. 이러고도 자유한국당이 민주주의를 추구.."
01101001.20190212181838001	20190212	한겨레	"[사설] 자유한국당, ‘5 18 사과’ 말 아닌 행동으로 보여야"	"자유한국당이 12일 김진태 이종명 김순례 의원의 ‘5 18 모독 망언’에 대해 당 차원에서 공식 사과하고 이들을 당 중앙윤리위원회에 회부해 징계하겠다고 밝혔다. 그러나 세 의원은 “진의가 왜곡됐다”는 등 궤변만 늘어놓을 뿐 제대로 된 사과조차 하지 않고 있다. 자유한국당이 사태의 심각성을 깨달았다면, 세 의원을 강력히 징계함으로써 사과의 진정성을 보여줘.."
01101001.20190208182836001	20190208	한겨레	[사설] ‘박근혜 수렁’에 다시 빠져드는 자유한국당	"오는 27일로 예정된 전당대회를 앞두고 자유한국당에서 ‘박근혜 망령’이 다시 살아나고 있다. 당 대표 출마를 선언한 주요 후보들이 ‘박근혜 석방’을 외치며 ‘친박 마케팅’에 열을 올리더니, 이번엔 박 전 대통령 쪽에서 몇몇 후보에 대한 호불호를 드러내면서 ‘옥중정치’를 하려는 듯한 움직임을 보인다. 자유한국당이 다시 ‘박근혜 수렁’에 빠져드는 형국인데,.."
01101001.20190207190854003	20190207	한겨레	"[사설] 북-미 회담 ‘신북풍’ 비난, 자유한국당의 시대착오"	"오는 27~28일 베트남에서 열리는 제2차 북-미 정상회담을 두고 자유한국당이 ‘내년 총선을 겨냥한 신북풍’이란 의혹을 제기했다. 한반도 평화를 위한 노력에 ‘북풍’ 의혹을 제기하는 건 시대착오적 억지일 뿐 아니라 정치적으로 매우 무책임한 처사가 아닐 수 없다.

 나경원 원내대표는 7일 비상대책위 회의에서 자유한국당 전당대회 날짜(27일)와 북-미 정.."
01101001.20190128211849001	20190128	한겨레	[사설] 정당 후진성 드러낸 자유한국당 ‘대표 자격’ 논란	"2 27 전당대회를 앞둔 자유한국당이 황교안 전 총리와 오세훈 전 서울시장의 당 대표 출마 자격을 두고 논란을 벌이고 있다. ‘3개월 이상 당비를 납부한 책임당원에게만 피선거권을 부여한’ 당헌에 따라 두 사람의 출마 자격이 없다는 주장이 제기됐고, 급기야 28일 당 비상대책위원회에서 공개 설전을 벌이는 지경에 이르렀다. 한국 정당정치의 후진성을 드러낸 .."
01100901.20190128004513001	20190128	중앙일보	[사설] 단식? 자유한국당의 고질적인 무개념	자유한국당의 행태가 점입가경이다. 국민 감정이나 상식과는 동떨어진 한심한 일들이 그치지 않고 있다. 조해주 중앙선관위원 임명 강행에 대응하는 ‘릴레이 단식 농성’이란 게 대표적이다. 의원들이 돌아가며 5시간30분씩 ‘단식’을 하는 방식이다. “의원들이 바쁜 때이기 때문에 취지를 같이하면서 진정성을 알리기 위해 조를 나눴다”(나경원 원내대표)는 설명이지만..
01101001.20190122174856002	20190122	한겨레	[사설] 자유한국당도 개편안 내 본격 ‘선거제 협상’ 나서야	"더불어민주당이 21일 국회의원 정수를 현행대로 유지하되, 지역구 의원을 줄이고 비례대표를 100석으로 늘리는 선거제 개편안을 내놓았다. 22일 열린 국회 정치개혁특위에선 야당들이 이 안을 비판하면서 갑론을박을 벌였다. 민주당 안은 선거제 개혁 취지에 한참 모자란 게 사실이다. 그렇다고 야당이 비판만 할 일은 아니다. 특히 자유한국당도 빨리 개편안을 내놓.."
01500801.20190116083720001	20190116	영남일보	"[사설] 황교안 입당, 찬반 떠나 자유한국당 겪어야 할 진로"	"황교안 전 국무총리가 15일 자유한국당에 입당했다. 정치적 중량감을 가진 인물로는 최근 한국당에 들어온 오세훈 전 서울시장에 이어 두번째다. 이들은 다음달 27일로 예정된 한국당 전당대회에 당 대표 후보로 출마할 것이 확실시 된다.



황 전 총리는 박근혜정부 마지막 국무총리를 지냈다. 또 박 전 대통령이 탄핵심판으로 대통령직을 박탈당한 상황에서 문재.."
01101001.20190114190821001	20190114	한겨레	"[사설] 자유한국당, ‘5 18 진실규명’ 훼방 놓겠다는 건가"	"자유한국당이 5 18 진상규명조사위원 3명을 14일 추천했다. 보수 극우 성향으로 5 18 민주화운동을 헐뜯어온 인사들이 포함됐다. 5 18 때 자행된 민간인 학살과 진실은폐 의혹을 광범위하게 조사하라는 특별법에 따라 출범하는 진상규명조사위가 오히려 진실 규명에 걸림돌이 되지 않을까 우려하게 된다. 

 자유한국당은 권태오 전 민주평통 사무처장, 이동욱.."
01500801.20190112080030001	20190112	영남일보	"[사설] 자유한국당 두 개의 장면, 정답은 투철한 쇄신에"	"제1야당인 자유한국당이 최근 당 안팎에서 벌어진 2개의 ‘사건’으로 희비가 엇갈리고 있다. 하나는 이른바 ‘예천군의원 캐나다 토론토 가이드 폭행사건’이고, 또 다른 하나는 정당 사상 처음 도입한 당협위원장 선발 공개오디션이다.



해외연수 폭행사건은 ‘정치인 충원’에서 공당이 얼마나 신중하고 또 조심해야 하는지를 입증하고 있다. 9명의 해외연수 예천군.."
01500601.20190102063101003	20190102	매일신문	"[사설] 자유한국당, 철저한 개혁 없이는 외면받는다는 사실 알아야"	"새해를 맞았지만, 자유한국당을 보면 가슴이 답답해진다. 총선 1년 4개월을 앞두고 대구경북에서 지지세를 회복하고 있다고는 하지만 그리 반가운 일이 아니다. 자신의 실력은 키우지 못한 채, 문재인 정권의 실정에 기대어 반사이익만 얻고 있는 탓이다. 이런 상태로 한국당이 되살아나면 지역 이익을 대변하기는커녕 과거처럼 실망감만 안겨줄 가능성이 높다. 
 
 .."
01101001.20190102204855001	20190102	한겨레	[사설] 자유한국당의 ‘아니면 말고’ 식 무더기 상임위 요구	"자유한국당이 2일 전 청와대 특별감찰반원 김태우(검찰 수사관)씨 폭로에 대한 국정조사와 특검을 요구했다. 김씨가 폭로한 의혹을 따질 4개 상임위와 신재민 전 기획재정부 사무관이 폭로한 청와대의 케이티앤지(KT&G) 사장 선임 개입 의혹 등을 다룰 기획재정위 소집도 주장했다. 

 나경원 자유한국당 원내대표는 “운영위를 겪으며 형사적 처벌이 가능한 청문회.."
01101001.20181231195834001	20181231	한겨레	[사설] 민정수석 불러놓고 정치공방만 벌인 자유한국당	"새로울 게 없었다. 전직 청와대 특별감찰반원 김태우(검찰 수사관)씨가 제기한 ‘민간인 사찰 의혹’ 등을 규명하기 위해 31일 소집된 국회 운영위원회에선 기존의 논란만 되풀이됐다. 자유한국당은 조국 청와대 민정수석을 ‘불법 사찰의 몸통’이라며 진실 규명을 별렀지만, 결정적인 ‘한 방’은 없었다. 왜 운영위를 열었는지 의아스러울 정도다. 

 자유한국당 의.."
01101001.20181226175758001	20181226	한겨레	"[사설] ‘유치원 3법’ 끝내 막아선 자유한국당, 국민은 안중에 없나"	"‘유치원 3법’의 국회 연내 합의 처리 가능성이 사실상 사라졌다. 26일 국회 교육위원회가 논의를 하루 더 연장하기로 했지만, 패스트트랙(신속처리안건) 상정만 남은 분위기다. 지난 10월 감사에 적발된 유치원 실명이 공개된 뒤 터져나온 국민들의 분노와, 이런 비리를 막아달라는 간절한 요구를 국회는 끝내 외면했다. 특히 이 과정에서 사사건건 발목잡기와 시.."
01100101.20181220210250002	20181220	경향신문	[사설]선거제 개혁 합의해 놓고 딴소리하는 자유한국당	"국회 정치개혁특별위원회가 어제 제1소위를 열어 연동형 비례대표제에 대한 논의에 착수했다. 정개특위는 지난 18일 의석 배분방식, 지역구 의원 선출방식, 지역구와 비례대표 비율, 바람직한 의원정수 등 7개 쟁점을 추렸다. 여야 5당 원내대표는 ‘연동형 비례대표제 도입을 위한 구체적 방안을 적극 검토한다’고 못 박으면서 ‘비례대표 확대 및 비례 지역구 의석.."
01500601.20181216063152002	20181216	매일신문	"[사설] 자유한국당, 이런 인적 쇄신으로 국민 눈높이 맞추겠나"	"자유한국당이 당협위원장 교체를 통한 인적 쇄신을 단행했다. 현역 의원 21명을 탈락시켜 물갈이 폭이 컸다는 얘기도 있지만, 외형만 그러할 뿐 내용을 들여다 보면 실망스러운 수준이다. 재판 중이거나 불출마 선언을 한 의원이 다수 포함돼 숫자만 부풀렸고, 탈락자라도 살아남을 수 있는 기회까지 부여했다. 이 정도 인적 쇄신으로 국민의 눈높이에 맞춘 것으로 여.."
01101001.20181216185803001	20181216	한겨레	[사설] 소리만 클 뿐 내실 없는 자유한국당 인적쇄신	"자유한국당이 15일 김무성 최경환 등 현역 의원 21명의 당협위원장 자격을 박탈하거나 향후 공모에서 배제하는 내용의 인적쇄신안을 확정했다. 지난 7월 출범한 ‘김병준 비상대책위원회’가 다섯달 숙고 끝에 내린 결론이다. 이번 쇄신안은 고심한 흔적은 있지만 소리만 요란하다는 지적을 피하기 어려워 보인다.

 물갈이 규모만 보면 예상보다 커 보이는 게 사실이.."
01101001.20181206191213002	20181206	한겨레	[사설] ‘유치원비 부당 사용’ 처벌 말자는 자유한국당의 몽니	"사립유치원의 공공성과 회계투명성 강화를 위한 ‘유치원 3법’(유아교육법 학교급식법 사립학교법) 개정이 자유한국당의 몽니로 어려움을 겪고 있다. 더불어민주당, 자유한국당, 바른미래당은 6일 국회 교육위원회 법안심사소위를 열어 절충을 시도했지만, 자유한국당이 학부모가 부담하는 원비 부당 사용의 처벌은 사적 재산에 대한 과도한 침해라며 완강히 반대해 합의안 .."
01101101.20181204050851002	20181204	한국일보	[사설] 사립유치원 투명회계 ‘유치원 3법’ 발목 잡은 자유한국당	국회 교육위원회가 3일 법안심사 소위원회를 열어 유아교육법 등 ‘유치원 3법’ 개정안을 심의했다. 학부모 단체와 한국유치원총연합회(한유총)가 서로 “회계 투명화” “사유재산 보호”를 주장하며 맞서고 한유총과 교육부도 “집단 폐원” “엄정 대처”로 격돌하는 가운데 열린 법안 심사여서 방송 생중계까지 하는 이례적 상황이 연출됐다. 박용진 더불어민주당 의원대..
01100101.20181128204741003	20181128	경향신문	[사설]또 시간끌기로 ‘유치원 3법’ 발목 잡은 자유한국당	28일 국회 교육위원회에서 예정됐던 사립유치원 비리근절을 위한 ‘유치원 3법’(유아교육법 사립학교법 학교급식법 개정안) 논의가 또 불발됐다. 교육위는 박용진 더불어민주당 의원이 발의한 유치원 3법과 자유한국당의 자체 법안을 함께 논의하려 했으나 한국당이 법안을 내놓지 않은 데다 유치원 3법 논의에 응하지 않으면서 유회됐다. 이 같은 한국당의 지연 전술로..
01500601.20181118063129001	20181118	매일신문	[사설] '가짜 뉴스' 헛발질이 말해주는 자유한국당의 한심한 실상	"자유한국당 김용태 사무총장이 김상곤 전 교육부총리의 딸이 특혜로 명문대학에 진학했다는 의혹을 제기했다가 2시간여 만에 '사실이 아니다'며 사과한 것은 일과성 해프닝으로 넘어갈 문제가 아니다. 한국당이 현 집권 세력의 대안 세력으로서 국민에게 인정받을 수 있느냐를 가늠하는 중대한 문제다. 
 
 김 사무총장이 제기한 의혹의 근거는 '제보'와 SNS에서 떠.."
01500601.20181111050143002	20181111	매일신문	"[사설] 자유한국당, 전원책 해촉은 인적 쇄신 후퇴 아닌가"	"자유한국당이 끝내 전원책 조직강화특위 위원을 해촉했다. 전 변호사가 ‘돌출발언’으로 마찰이 잦았기에 해촉은 불가피했는지 모른다. 하지만, 한국당의 지상 과제는 인적 쇄신이다. 전 변호사를 인적 쇄신에 필요한 인물이라고 영입해 놓고는, 시끄럽다며 쫓아냈으니 한국당이 진정으로 개혁 의지를 갖고 있는지 의심할 만하다. 
 
 전 변호사가 끊임없이 ‘월권’ 논.."
01101001.20181109174901001	20181109	한겨레	[사설] 자유한국당의 ‘전원책 경질 소동’이 남긴 것	자유한국당 비상대책위원회가 9일 ‘전당대회 개최 시기’ 문제 등으로 갈등을 빚어온 전원책 조직강화특위 위원을 해촉했다. 전 위원에게 전권을 주며 시작한 인적 청산 실험이 한달여 만에 좌초한 것이다. 전 위원 경질 소동은 자유한국당의 쇄신이 만만찮은 일임을 보여준다. 한둘의 명망가 중심으로 당의 환골탈태가 이뤄지기는 어렵다. 지도부부터 평당원까지 모두가 ..
02100601.20181104001514002	20181104	한국경제	[사설] 한술 더 뜨는 자유한국당의 '저출산 퍼주기'	"자유한국당이 지난 2일 저출산 관련 예산을 대폭 증액한 ‘2019년도 예산안 심사 방침’을 내놨다. 신생아 1인당 2000만원 출산장려금 일시 지급, 임산부 30만 명에게 200만원을 사용할 수 있는 ‘토털 케어카드’ 지급 등을 담았다. 6세 이하 자녀를 둔 소득 하위 90% 가정에 월 10만원씩 주는 현행 아동수당도 만 12세까지 모든 가정에 월 30.."
01101001.20181031182857002	20181031	한겨레	"[사설] 자유한국당, ‘5 18 진상조사’ 회피하지 말아야"	5 18 민주화운동 진상규명조사위원회가 자유한국당의 조사위원 추천 지연으로 출범도 못 한 채 48일째 표류하고 있다. 1980년 5 18 당시 계엄군 등에 의해 성폭력이 자행됐다는 정부 발표까지 31일 나왔지만 정작 이를 조사할 진상규명조사위는 가동조차 못 하는 답답한 상황이 이어지고 있다. 자유한국당은 하루빨리 추천 절차를 마무리해 진상규명조사위가 가..
01101101.20181029050640004	20181029	한국일보	"[사설] 자유한국당, 5ㆍ18 진상규명 할 의지 있기는 한가"	우리 현대사의 커다란 아픔인 5ㆍ18민주화운동의 진실을 파악할 마지막 기회인 ‘5ㆍ18 진상규명조사위원회’의 출범이 계속 늦어지고 있다. 지난달 14일 5ㆍ18 진상규명특별법이 시행된 지 한 달이 훨씬 지나도록 진상규명위 위원 9명중 3명을 추천해야 하는 자유한국당이 아직까지도 추천을 하지 않고 있기 때문이다. 한국당내에서는 5ㆍ18민주화운동에 북한군 ..
01101001.20181025174844001	20181025	한겨레	"[사설] ‘사법농단 특별재판부’, 자유한국당도 동참해야"	"자유한국당을 뺀 여야 4당이 25일 ‘양승태 대법원’의 사법농단 사건 특별재판부 설치를 촉구하고 나섰다. 더불어민주당 홍영표, 바른미래당 김관영, 민주평화당 장병완, 정의당 윤소하 원내대표는 “초유의 사법농단 사태를 공정히 처리하기 위해 특별재판부를 설치해야 한다”고 밝혔다. 여야 4당이 모처럼 뜻을 모은 것은 사법부 대처가 크게 미흡했기 때문이다. 자.."
01101001.20181018181922003	20181018	한겨레	"[사설] 자유한국당, 자성 쇄신 없이 ‘세 불리기’만 골몰하나"	"김병준 자유한국당 비대위원장이 최근 황교안 전 국무총리를 만나 입당을 제안한 것으로 알려졌다. 전원책 조강특위 위원은 친박단체 격인 ‘태극기부대’도 끌어안아야 한다는 취지로 발언했다. ‘빅텐트’로 일컬어지는 이런 보수 대통합 움직임은 매우 우려스럽다. ‘박근혜 국정농단’에 대한 자성과 인적 쇄신은 없이, 그에 책임 있는 인물과 세력을 끌어모아 몸집 불리.."
01101001.20181012165803001	20181012	한겨레	"[사설] 김병준 전원책의 자유한국당, 뿌리까지 쇄신해야"	"자유한국당이 전원책 변호사를 중심으로 한 조직강화특위 구성을 마무리하고 쇄신 작업에 본격 착수했다. 김병준 비대위원장과 전원책 조강특위 위원이 ‘쌍끌이’로 쇄신을 이끄는 모양새인데, 방향이나 목표가 아직은 명확하지 않다. 이념과 정책, 인물 등 모든 분야를 뿌리부터 갈아엎는다는 자세로 접근해 ‘정상 보수’로 거듭나길 바란다. 

 김 비대위원장은 12일.."
01100101.20181008203931001	20181008	경향신문	[사설]한반도 평화 대열에서 점점 고립돼가는 자유한국당	"역시나 자유한국당의 대응은 예상대로다. 마이크 폼페이오 미국 국무장관의 네 번째 방북 결과에 대해서도 한국당만 “진전이 없다”고 평가절하했다. 그러면서 판문점선언 비준동의 절대 불가, 평양 국회회담 불참을 못 박고 있다. 폼페이오 장관이 “(김정은과)또 한 걸음 내디뎠다”며 빠른 시일 내 2차 북 미 정상회담 개최를 공식화했는데도, 한국당은 협상 진전을.."
